instance_id,benchmark,family,arch,difficulty,tercile,onnx_path,vnnlib_path,has_onnx,domain
ld9,sweep_all,Dominant Key Attn,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/ld9/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/ld9/spec.vnnlib,True,synthetic
ld7,sweep_all,Dominant Key Attn,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/ld7/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/ld7/spec.vnnlib,True,synthetic
fp9,sweep_all,Fixed Order Attn,ATTENTION,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/fp9/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/fp9/spec.vnnlib,True,synthetic
fp7,sweep_all,Fixed Order Attn,ATTENTION,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/fp7/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/fp7/spec.vnnlib,True,synthetic
rc7,sweep_all,Input-Corner Stress,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/rc7/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/rc7/spec.vnnlib,True,synthetic
rc15,sweep_all,Input-Corner Stress,MLP,0.2,medium,src/VeriStressGT/benchmarks/sweep_all/instances/rc15/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/rc15/spec.vnnlib,True,synthetic
rc21,sweep_all,Input-Corner Stress,MLP,0.8,hard,src/VeriStressGT/benchmarks/sweep_all/instances/rc21/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/rc21/spec.vnnlib,True,synthetic
meap2,sweep_all,MEAP,MLP,0.4,medium,src/VeriStressGT/benchmarks/sweep_all/instances/meap2/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/meap2/spec.vnnlib,True,synthetic
meap4,sweep_all,MEAP,MLP,0.6,hard,src/VeriStressGT/benchmarks/sweep_all/instances/meap4/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/meap4/spec.vnnlib,True,synthetic
milp16,sweep_all,MILP,MLP,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/milp16/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/milp16/spec.vnnlib,True,synthetic
milp20,sweep_all,MILP,MLP,0.2,medium,src/VeriStressGT/benchmarks/sweep_all/instances/milp20/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/milp20/spec.vnnlib,True,synthetic
milp30,sweep_all,MILP,MLP,0.8,hard,src/VeriStressGT/benchmarks/sweep_all/instances/milp30/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/milp30/spec.vnnlib,True,synthetic
milp26,sweep_all,MILP,MLP,0.8,hard,src/VeriStressGT/benchmarks/sweep_all/instances/milp26/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/milp26/spec.vnnlib,True,synthetic
000031,vnncomp_mnist_fc,MNIST_fc,MLP,0.0,easy,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000031/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000031/spec.vnnlib,True,established
000034,vnncomp_mnist_fc,MNIST_fc,MLP,0.0,easy,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000034/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000034/spec.vnnlib,True,established
000004,vnncomp_mnist_fc,MNIST_fc,MLP,0.0,easy,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000004/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000004/spec.vnnlib,True,established
000035,vnncomp_mnist_fc,MNIST_fc,MLP,0.0,easy,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000035/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000035/spec.vnnlib,True,established
000066,vnncomp_mnist_fc,MNIST_fc,MLP,0.2,medium,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000066/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000066/spec.vnnlib,True,established
000063,vnncomp_mnist_fc,MNIST_fc,MLP,0.2,medium,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000063/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000063/spec.vnnlib,True,established
000016,vnncomp_mnist_fc,MNIST_fc,MLP,0.4,medium,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000016/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000016/spec.vnnlib,True,established
000017,vnncomp_mnist_fc,MNIST_fc,MLP,0.4,medium,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000017/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000017/spec.vnnlib,True,established
000086,vnncomp_mnist_fc,MNIST_fc,MLP,1.0,hard,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000086/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000086/spec.vnnlib,True,established
000081,vnncomp_mnist_fc,MNIST_fc,MLP,1.0,hard,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000081/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000081/spec.vnnlib,True,established
000087,vnncomp_mnist_fc,MNIST_fc,MLP,1.0,hard,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000087/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000087/spec.vnnlib,True,established
000083,vnncomp_mnist_fc,MNIST_fc,MLP,1.0,hard,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000083/model.onnx,src/VeriStressGT/benchmarks/vnncomp_mnist_fc/instances/000083/spec.vnnlib,True,established
pb_cnn_23,sweep_all,Paired-Biases,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_23/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_23/spec.vnnlib,True,synthetic
pb_cnn_24,sweep_all,Paired-Biases,CNN,0.0,easy,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_24/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_24/spec.vnnlib,True,synthetic
pb_cnn_22,sweep_all,Paired-Biases,CNN,0.2,medium,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_22/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_22/spec.vnnlib,True,synthetic
pb_cnn_33,sweep_all,Paired-Biases,CNN,0.2,medium,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_33/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_33/spec.vnnlib,True,synthetic
pb_cnn_40,sweep_all,Paired-Biases,CNN,1.0,hard,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_40/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_40/spec.vnnlib,True,synthetic
pb_cnn_41,sweep_all,Paired-Biases,CNN,1.0,hard,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_41/model.onnx,src/VeriStressGT/benchmarks/sweep_all/instances/pb_cnn_41/spec.vnnlib,True,synthetic
poly06_deg12,polynomial_stress_22,Polynomial Net,POLYNOMIAL,0.2,medium,,src/VeriStressGT/benchmarks/polynomial_stress_22/instances/poly06_deg12/spec.vnnlib,False,synthetic
poly13_deg19_b,polynomial_stress_22,Polynomial Net,POLYNOMIAL,0.6,hard,,src/VeriStressGT/benchmarks/polynomial_stress_22/instances/poly13_deg19_b/spec.vnnlib,False,synthetic
poly12_deg19_a,polynomial_stress_22,Polynomial Net,POLYNOMIAL,0.6,hard,,src/VeriStressGT/benchmarks/polynomial_stress_22/instances/poly12_deg19_a/spec.vnnlib,False,synthetic
vb_oval21_0027,oval21,oval21,CNN,0.0,easy,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0027/model.onnx,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0027/spec.vnnlib,True,established
vb_oval21_0007,oval21,oval21,CNN,0.4,medium,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0007/model.onnx,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0007/spec.vnnlib,True,established
vb_oval21_0029,oval21,oval21,CNN,0.6,hard,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0029/model.onnx,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0029/spec.vnnlib,True,established
vb_oval21_0010,oval21,oval21,CNN,0.8,hard,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0010/model.onnx,src/VeriStressGT/benchmarks/oval21/instances/vb_oval21_0010/spec.vnnlib,True,established
